scenario,feature_set,model,split,actual_label,pred_efficient,pred_medium,pred_inefficient
temporal,strict_static,logistic_regression,validation_2022,efficient,2141,1001,1212
temporal,strict_static,logistic_regression,validation_2022,medium,1352,1351,1646
temporal,strict_static,logistic_regression,validation_2022,inefficient,1161,1054,2132
temporal,strict_static,logistic_regression,test_2023,efficient,2568,783,859
temporal,strict_static,logistic_regression,test_2023,medium,1839,1132,1233
temporal,strict_static,logistic_regression,test_2023,inefficient,1613,871,1717
temporal,strict_static,logistic_regression,external_2024,efficient,2676,840,798
temporal,strict_static,logistic_regression,external_2024,medium,2061,1116,1128
temporal,strict_static,logistic_regression,external_2024,inefficient,1792,951,1543
temporal,strict_static,random_forest,validation_2022,efficient,3253,743,358
temporal,strict_static,random_forest,validation_2022,medium,1343,1871,1135
temporal,strict_static,random_forest,validation_2022,inefficient,661,791,2895
temporal,strict_static,random_forest,test_2023,efficient,2943,736,531
temporal,strict_static,random_forest,test_2023,medium,1298,1451,1455
temporal,strict_static,random_forest,test_2023,inefficient,695,748,2758
temporal,strict_static,random_forest,external_2024,efficient,2923,771,620
temporal,strict_static,random_forest,external_2024,medium,1316,1496,1493
temporal,strict_static,random_forest,external_2024,inefficient,681,795,2810
temporal,strict_static,hist_gradient_boosting,validation_2022,efficient,3220,851,283
temporal,strict_static,hist_gradient_boosting,validation_2022,medium,916,2361,1072
temporal,strict_static,hist_gradient_boosting,validation_2022,inefficient,333,811,3203
temporal,strict_static,hist_gradient_boosting,test_2023,efficient,3152,835,223
temporal,strict_static,hist_gradient_boosting,test_2023,medium,1250,2088,866
temporal,strict_static,hist_gradient_boosting,test_2023,inefficient,450,1385,2366
temporal,strict_static,hist_gradient_boosting,external_2024,efficient,3189,863,262
temporal,strict_static,hist_gradient_boosting,external_2024,medium,1311,2125,869
temporal,strict_static,hist_gradient_boosting,external_2024,inefficient,459,1629,2198
temporal,operational_no_emission,logistic_regression,validation_2022,efficient,2126,1037,1191
temporal,operational_no_emission,logistic_regression,validation_2022,medium,1420,1223,1706
temporal,operational_no_emission,logistic_regression,validation_2022,inefficient,1164,987,2196
temporal,operational_no_emission,logistic_regression,test_2023,efficient,2422,965,823
temporal,operational_no_emission,logistic_regression,test_2023,medium,1767,1274,1163
temporal,operational_no_emission,logistic_regression,test_2023,inefficient,1545,997,1659
temporal,operational_no_emission,logistic_regression,external_2024,efficient,2559,1047,708
temporal,operational_no_emission,logistic_regression,external_2024,medium,1984,1350,971
temporal,operational_no_emission,logistic_regression,external_2024,inefficient,1728,1149,1409
temporal,operational_no_emission,random_forest,validation_2022,efficient,3282,739,333
temporal,operational_no_emission,random_forest,validation_2022,medium,1348,1878,1123
temporal,operational_no_emission,random_forest,validation_2022,inefficient,637,778,2932
temporal,operational_no_emission,random_forest,test_2023,efficient,2987,684,539
temporal,operational_no_emission,random_forest,test_2023,medium,1320,1398,1486
temporal,operational_no_emission,random_forest,test_2023,inefficient,683,672,2846
temporal,operational_no_emission,random_forest,external_2024,efficient,3014,715,585
temporal,operational_no_emission,random_forest,external_2024,medium,1363,1448,1494
temporal,operational_no_emission,random_forest,external_2024,inefficient,704,798,2784
temporal,operational_no_emission,hist_gradient_boosting,validation_2022,efficient,3223,825,306
temporal,operational_no_emission,hist_gradient_boosting,validation_2022,medium,947,2284,1118
temporal,operational_no_emission,hist_gradient_boosting,validation_2022,inefficient,360,803,3184
temporal,operational_no_emission,hist_gradient_boosting,test_2023,efficient,3137,845,228
temporal,operational_no_emission,hist_gradient_boosting,test_2023,medium,1242,2039,923
temporal,operational_no_emission,hist_gradient_boosting,test_2023,inefficient,454,1291,2456
temporal,operational_no_emission,hist_gradient_boosting,external_2024,efficient,3205,838,271
temporal,operational_no_emission,hist_gradient_boosting,external_2024,medium,1292,2120,893
temporal,operational_no_emission,hist_gradient_boosting,external_2024,inefficient,456,1581,2249
random_stratified,strict_static,logistic_regression,random_test,efficient,2366,1031,1479
random_stratified,strict_static,logistic_regression,random_test,medium,1450,1333,2086
random_stratified,strict_static,logistic_regression,random_test,inefficient,1155,983,2726
random_stratified,strict_static,random_forest,random_test,efficient,3677,819,380
random_stratified,strict_static,random_forest,random_test,medium,1576,1931,1362
random_stratified,strict_static,random_forest,random_test,inefficient,847,733,3284
random_stratified,strict_static,hist_gradient_boosting,random_test,efficient,3673,863,340
random_stratified,strict_static,hist_gradient_boosting,random_test,medium,1082,2497,1290
random_stratified,strict_static,hist_gradient_boosting,random_test,inefficient,424,966,3474
random_stratified,operational_no_emission,logistic_regression,random_test,efficient,2357,1023,1496
random_stratified,operational_no_emission,logistic_regression,random_test,medium,1514,1297,2058
random_stratified,operational_no_emission,logistic_regression,random_test,inefficient,1151,1012,2701
random_stratified,operational_no_emission,random_forest,random_test,efficient,3561,817,498
random_stratified,operational_no_emission,random_forest,random_test,medium,1413,1962,1494
random_stratified,operational_no_emission,random_forest,random_test,inefficient,747,715,3402
random_stratified,operational_no_emission,hist_gradient_boosting,random_test,efficient,3641,895,340
random_stratified,operational_no_emission,hist_gradient_boosting,random_test,medium,1105,2462,1302
random_stratified,operational_no_emission,hist_gradient_boosting,random_test,inefficient,408,946,3510
